地名,センター,可燃ごみ,びん・缶・ペットボトル,古紙・布類,不燃ごみ・有害ごみ(危険物)
青葉町,"",月 木,金,火,水1 水3
赤井町,"",火 金,木,月,水1 水3
旭　町,"",水 土,火,金,月1 月3
市場町,"",月 木,火,水,金2 金4
稲荷町1～3丁目,"",月 木,土,水,火2 火4
亥鼻1～3丁目,"",火 金,水,木,土1 土3
今井町,"",月 木,火,水,土2 土4
今井1～3丁目,"",月 木,金,水,火2 火4
院内1・2丁目,"",水 土,金,木,月1 月3
鵜の森町,"",月 木,土,火,水1 水3
大森町,"",水 土,月,火,金2 金4
生実町,"",火 金,土,月,木2 木4
春日1・2丁目,"",水 土,月,火,木1 木3
葛城1～3丁目,"",火 金,月,木,土1 土3
要町,"",水 土,火,金,月1 月3
亀井町,"",水 土,火,金,月1 月3
亀岡町,"",水 土,火,金,月1 月3
川戸町,"",水 土,火,金,月2 月4
栄町,"",水 土,火,金,月1 月3
寒川町1～3丁目,"",月 木,水,火,土1 土3
塩田町,"",月 木,金,火,土2 土4
汐見丘町,"",水 土,月,火,木1 木3
白旗1～3丁目,"",火 金,月,木,水1 水3
新宿1・2丁目,"",水 土,火,金,月1 月3
新千葉1～3丁目,"",水 土,金,木,月1 月3
新田町,"",水 土,金,木,月1 月3
新町,"",水 土,金,木,月1 月3
神明町,"",水 土,火,金,月1 月3
末広1～5丁目,"",月 木,水,火,金1 金3
蘇我町2丁目,"",月 木,水,火,土2 土4
蘇我1～5丁目,"",月 木,水,火,土2 土4
大巌寺町,"",月 木,火,水,土2 土4
千葉寺町,"",月 木,火,水,土2 土4
千葉港,"",水 土,金,木,月1 月3
中央1～4丁目,"",月 木,水,火,金2 金4
中央港1・2丁目,"",水 土,金,木,月1 月3
椿森1～6丁目,"",火 金,木,月,土1 土3
鶴沢町,"",水 土,金,木,月1 月3
出洲港,"",水 土,木,火,月1 月3
道場北町,"",火 金,水,月,木2 木4
道場北1・2丁目,"",火 金,水,月,木2 木4
道場南1・2丁目,"",火 金,土,月,木2 木4
問屋町,"",水 土,金,木,月1 月3
長洲1・2丁目,"",月 木,金,火,水1 水3
仁戸名町,"",水 土,木,金,火1 火3
登戸1～5丁目,"",水 土,月,火,金1 金3
花輪町,"",火 金,土,月,水1 水3
浜野町,"",火 金,水,月,木2 木4
東千葉1～3丁目,"",火 金,木,月,土1 土3
東本町,"",水 土,火,金,月1 月3
富士見1・2丁目,"",水 土,火,金,月1 月3
弁天1～4丁目,"",月 木,金,火,水2 水4
星久喜町,"",月 木,土,水,金1 金3
本千葉町,"",水 土,火,金,月1 月3
本町1～3丁目,"",水 土,火,金,月1 月3
松ヶ丘町,"",水 土,金,火,月2 月4
松波1～4丁目,"",月 木,土,水,金1 金3
港町,"",月 木,金,火,水1 水3
南生実町,"",火 金,土,月,木2 木4
南町1～3丁目,"",火 金,月,木,水1 水3
都町,"",火 金,木,月,土2 土4
都町1～3丁目,"",火 金,木,月,土2 土4
宮崎町,"",水 土,金,火,月2 月4
宮崎1・2丁目,"",月 木,水,火,土2 土4
村田町,"",火 金,土,月,木2 木4
矢作町,"",月 木,火,水,金1 金3
祐光1～4丁目,"",火 金,水,月,木2 木4
若草1丁目,"",月 木,金,火,土2 土4
